Index,[Fe/H]=0.5,[Fe/H]=0.0,[Fe/H]=-0.5,[Fe/H]=-1.0
a0,0.0,0.0,0.0,0.0
a1,0.0,0.0,0.0,0.0
a2,-0.096624248688,0.0,0.012954384272,-0.007794749635
a3,1.783585096745,0.0,-0.312129002049,0.025813714905
a4,-13.508985096144,0.169855100878,3.100531087831,0.715464676875
a5,53.757113280351,-2.480614658371,-16.495931097307,-6.866235847797
a6,-119.320367997434,14.013956376083,51.003414794333,26.806865906373
a7,144.779035049451,-38.012567394914,-92.558030049807,-55.333398730714
a8,-89.410342333598,48.841894902942,92.744747490896,61.282399404072
a9,34.495113922668,-16.892936078372,-34.602419547226,-22.446082155341
a10,-0.226864785615,6.856181447544,9.619905289945,8.100040838968
