Index,[Fe/H]=0.5,[Fe/H]=0.0,[Fe/H]=-0.5,[Fe/H]=-1.0
a0,0.09091119,0.0,0.0,0.0
a1,-2.14419924,0.0,0.0,0.0
a2,21.64086067,-0.1800481,0.01396534,-0.17321617
a3,-121.83996423,3.31176156,-0.4517549,2.5192526
a4,418.51093031,-24.76760629,5.4135586,-14.05098162
a5,-903.04383556,96.31515068,-32.69051569,35.641629
a6,1220.24784307,-206.72420743,109.54170985,-30.06444868
a7,-1005.58545485,240.54612855,-206.08270235,-38.33907626
a8,477.34389117,-142.65082922,204.78830157,92.60066216
a9,-99.31146263,55.73526283,-77.17802309,-40.64258101
a10,15.39960053,0.15319572,18.55000418,14.07951785
